Mission Name,Mission Type,Country,Launch Site,Budget (in Billion $),Success Rate (%),Satellite Type,Technology Used,Environmental Impact,Mission Duration (Days),Company,Location,Datum (Launch DateTime),Rocket Name,Status Rocket,Rocket Cost (in $ Million),Status Mission,Year
China-Weather-Falcon-2012-112,Manned,China,Baikonur,40.73,98.45,Weather,Reusable Rocket,Medium,64,ESA,Baikonur,2012-06-16 18:51:00,Falcon 9,Retired,47586.86,Failure,2012
India-Communication-Soyuz-2019-113,Satellite Deployment,India,Cape Canaveral,19.12,90.31,Communication,AI-Based Navigation,Medium,118,ESA,Cape Canaveral,2019-04-04 21:47:00,Soyuz,Active,12429.92,Success,2019
USA-Navigation-Soyuz-2007-114,Satellite Deployment,USA,Al Dhafra,21.5,64.34,Navigation,Traditional Rocket,High,231,ESA,Al Dhafra,2007-03-21 18:22:00,Soyuz,Active,24591.97,Success,2007
Russia-Communication-Soyuz-2012-115,Unmanned,Russia,Sriharikota,1.06,62.2,Communication,AI-Based Navigation,High,254,Roscosmos,Sriharikota,2012-11-27 12:37:00,Soyuz,Retired,934.07,Success,2012
UAE-Navigation-New-2020-116,Research,UAE,Kourou,6.32,89.1,Navigation,Hybrid Propulsion,High,335,ISRO,Kourou,2020-10-02 08:34:00,New Shepard,Active,6253.81,Success,2020
Russia-Spy-GSLV-2007-117,Manned,Russia,Kourou,48.13,71.14,Spy,Reusable Rocket,High,399,ISRO,Kourou,2007-08-24 18:39:00,GSLV Mk III,Retired,39703.51,Failure,2007
India-Research-Long-2019-118,Research,India,Jiuquan,11.57,60.47,Research,Traditional Rocket,High,118,NASA,Jiuquan,2019-05-05 11:55:00,Long March 5,Active,13628.69,Partial Failure,2019
France-Weather-Soyuz-2022-119,Satellite Deployment,France,Jiuquan,2.64,80.58,Weather,AI-Based Navigation,Low,212,ISRO,Jiuquan,2022-11-21 15:50:00,Soyuz,Retired,2995.57,Partial Failure,2022
China-Spy-Ariane-2006-120,Unmanned,China,Al Dhafra,4.15,97.8,Spy,Hybrid Propulsion,Low,124,ISRO,Al Dhafra,2006-06-14 11:52:00,Ariane 5,Retired,3869.1,Success,2006
France-Navigation-Long-2016-121,Satellite Deployment,France,Kourou,31.66,77.73,Navigation,Reusable Rocket,Medium,400,Blue Origin,Kourou,2016-02-10 19:43:00,Long March 5,Retired,32212.44,Success,2016
France-Spy-New-2012-122,Research,France,Cape Canaveral,29.42,61.77,Spy,Traditional Rocket,High,379,SpaceX,Cape Canaveral,2012-01-27 13:04:00,New Shepard,Active,33559.24,Success,2012
China-Weather-Ariane-2011-123,Satellite Deployment,China,Kourou,47.55,77.77,Weather,Traditional Rocket,High,284,SpaceX,Kourou,2011-10-15 23:25:00,Ariane 5,Retired,53929.23,Success,2011
UAE-Communication-GSLV-2009-124,Manned,UAE,Kourou,14.23,78.08,Communication,AI-Based Navigation,Low,347,ESA,Kourou,2009-01-03 00:58:00,GSLV Mk III,Active,10144.18,Success,2009
France-Spy-Ariane-2010-125,Research,France,Kourou,29.39,98.0,Spy,AI-Based Navigation,Medium,224,NASA,Kourou,2010-09-24 15:31:00,Ariane 5,Retired,19004.77,Partial Failure,2010
India-Research-Long-2023-126,Research,India,Al Dhafra,35.06,72.07,Research,Traditional Rocket,High,65,Blue Origin,Al Dhafra,2023-05-23 17:39:00,Long March 5,Active,32313.32,Failure,2023
France-Weather-New-2013-127,Satellite Deployment,France,Kourou,34.39,95.53,Weather,AI-Based Navigation,High,349,SpaceX,Kourou,2013-06-12 11:14:00,New Shepard,Retired,23989.44,Failure,2013
UAE-Spy-Soyuz-2023-128,Research,UAE,Kourou,47.52,83.92,Spy,Hybrid Propulsion,High,170,NASA,Kourou,2023-10-23 07:01:00,Soyuz,Retired,49203.71,Success,2023
Russia-Navigation-Long-2011-129,Satellite Deployment,Russia,Baikonur,46.67,61.76,Navigation,Traditional Rocket,Medium,230,Roscosmos,Baikonur,2011-05-02 16:53:00,Long March 5,Retired,52253.52,Success,2011
China-Weather-Falcon-2006-130,Manned,China,Jiuquan,19.13,98.5,Weather,Hybrid Propulsion,High,241,ISRO,Jiuquan,2006-12-19 04:56:00,Falcon 9,Retired,20781.53,Success,2006
